Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRE12,OUT017,1875.059765
DRE12,OUT018,1570.900163
DRE13,OUT017,1452.71949
DRE13,OUT019,209.0267134
DRE13,OUT046,1355.276225
DRE13,OUT018,1173.002871
DRE13,OUT010,203.2874185
DRE15,OUT049,1022.715118
DRE15,OUT013,1177.632246
DRE15,OUT035,1216.431711
DRE15,OUT010,174.8585505
DRE25,OUT019,222.9344898
DRE25,OUT018,1298.389361
DRE25,OUT045,1364.977162
DRE25,OUT013,1487.590549
DRE27,OUT018,1319.703984
DRE27,OUT027,2527.905187
DRE27,OUT017,1468.955635
DRE37,OUT027,4872.466953
DRE37,OUT013,3120.352893
DRE37,OUT045,2886.883349
DRE37,OUT017,3133.199263
DRE48,OUT010,482.8139129
DRE48,OUT049,3356.524782
DRE60,OUT027,5844.61994
DRE60,OUT046,3443.497897
DRE60,OUT018,3210.955804
DRF01,OUT010,351.6738928
DRF01,OUT045,2207.035121
DRF03,OUT017,632.5496951
DRF13,OUT027,3812.962465
DRF13,OUT035,2450.747635
DRF13,OUT019,344.6290415
DRF15,OUT010,372.5655411
DRF15,OUT017,2583.66067
DRF15,OUT045,2342.824208
DRF15,OUT027,3949.107534
DRF15,OUT049,2317.66561
DRF15,OUT035,2565.236399
DRF23,OUT013,2913.018757
DRF25,OUT018,437.5009721
DRF25,OUT017,634.0717398
DRF27,OUT045,2314.80656
DRF36,OUT035,3235.020692
DRF36,OUT017,3234.998498
DRF36,OUT013,3178.820721
DRF37,OUT046,4021.160987
DRF37,OUT049,4448.316731
DRF37,OUT027,6703.963694
DRF48,OUT010,463.3199362
DRF48,OUT013,3135.88626
DRF48,OUT046,2877.118832
DRF48,OUT018,2658.138587
DRF48,OUT027,4809.380881
DRF48,OUT035,3202.100134
DRF48,OUT049,3174.537111
DRF48,OUT017,3122.660584
DRF49,OUT027,2931.550964
DRF49,OUT017,1887.67576
DRF49,OUT013,1851.397628
DRF51,OUT010,76.04619373
DRF51,OUT013,531.4021908
DRF51,OUT017,400.4297131
DRF51,OUT027,1052.124571
DRF51,OUT035,600.5073145
DRF60,OUT027,6074.098244
DRF60,OUT013,3988.906628
DRF60,OUT035,4092.814245
DRF60,OUT046,3628.569395
DRG01,OUT017,1283.210363
DRG01,OUT049,1250.614398
DRG01,OUT045,1109.004817
DRG01,OUT018,1027.761063
DRG03,OUT017,2543.241376
DRG03,OUT045,2345.404945
DRG03,OUT049,2377.241776
DRG03,OUT035,2628.926595
DRG11,OUT017,1768.799784
DRG11,OUT035,1792.531058
DRG11,OUT027,2815.548778
DRG11,OUT049,1761.022175
DRG13,OUT049,2780.252836
DRG13,OUT046,2524.306187
DRG13,OUT010,396.5681022
DRG15,OUT027,1693.822134
DRG15,OUT018,796.995168
DRG23,OUT017,2495.417514
DRG23,OUT010,365.103829
DRG25,OUT046,2856.201728
DRG25,OUT045,2837.647003
DRG25,OUT027,4858.240127
DRG25,OUT018,2626.532937
DRG25,OUT049,3163.092189
DRG25,OUT017,3157.340936
DRG27,OUT017,554.4764147
DRG27,OUT027,1169.920268
DRG27,OUT013,580.6766602
DRG27,OUT035,648.5155934
DRG36,OUT017,2820.91322
DRG36,OUT049,2872.355409
DRG36,OUT018,2404.522878
DRG37,OUT017,2666.143058
DRG37,OUT010,376.3752896
DRG37,OUT027,4036.59039
DRG39,OUT035,844.5725645
DRG39,OUT013,773.1554868
DRG39,OUT027,1477.706741
DRG39,OUT045,784.1744324
DRG39,OUT017,876.3044674
DRG48,OUT035,2448.416022
DRG48,OUT019,342.924978
DRG48,OUT010,352.4550058
DRG48,OUT017,2484.302237
DRG48,OUT013,2358.36432
DRG49,OUT049,4155.362477
DRG49,OUT035,4179.549526
DRG49,OUT013,4119.565202
DRG49,OUT019,579.2898676
DRG49,OUT046,3726.465363
DRG51,OUT013,2677.471236
DRG51,OUT018,2342.385629
DRG51,OUT027,4229.971153
DRG51,OUT035,2810.535215
DRH01,OUT049,2961.109423
DRH01,OUT035,2927.310419
DRH01,OUT013,2901.560619
DRH01,OUT018,2452.142952
DRH03,OUT027,2496.061548
DRH03,OUT017,1558.946215
DRH03,OUT013,1515.125877
DRH03,OUT045,1417.899386
DRH11,OUT046,881.1511155
DRH11,OUT010,119.5562708
DRH11,OUT035,920.3794994
DRH11,OUT017,874.7649072
DRH11,OUT018,747.4925899
DRH11,OUT019,135.5482002
DRH13,OUT027,2822.32875
DRH13,OUT035,1811.093611
DRH13,OUT049,1753.603087
DRH13,OUT017,1820.945745
DRH15,OUT035,709.8290041
DRH15,OUT017,619.2109314
DRH15,OUT045,619.8758314
DRH15,OUT027,1248.960998
DRH15,OUT049,485.3916614
DRH23,OUT027,1542.454967
DRH23,OUT018,754.7891199
DRH23,OUT010,113.8281088
DRH23,OUT046,867.3676965
DRH23,OUT035,894.3182594
DRH25,OUT018,684.3192331
DRH25,OUT049,840.9040593
DRH25,OUT046,814.8528701
DRH36,OUT049,1200.808874
DRH36,OUT027,1989.776495
DRH36,OUT018,984.019825
DRH37,OUT018,2343.844935
DRH37,OUT046,2516.648732
DRH37,OUT027,4227.445083
DRH37,OUT010,406.2018292
DRH39,OUT010,170.3431966
DRH39,OUT018,1023.383145
DRH39,OUT045,1113.674425
DRH39,OUT035,1269.697411
DRH49,OUT045,1255.197791
DRH49,OUT049,1327.834103
DRH49,OUT035,1380.756516
DRH49,OUT010,182.8206956
DRH49,OUT017,1401.790083
DRH49,OUT027,2181.495103
DRH51,OUT018,1207.527132
DRH51,OUT017,1364.015411
DRH51,OUT046,1327.185617
DRH51,OUT045,1314.757085
DRH59,OUT045,1074.30963
DRH59,OUT027,1973.821837
DRH59,OUT018,998.1517443
DRH59,OUT035,1234.44524
DRH59,OUT013,1169.660768
DRH59,OUT017,1177.836793
DRI01,OUT035,2893.750492
DRI01,OUT049,2907.278065
DRI03,OUT045,2678.550345
DRI03,OUT010,432.6300064
DRI11,OUT046,1746.780459
DRI11,OUT013,1867.430073
DRI11,OUT017,1962.602065
DRI13,OUT045,3320.590314
DRI13,OUT027,5609.159904
DRI13,OUT049,3662.055043
DRI13,OUT035,3708.748013
DRI23,OUT046,2449.342766
DRI23,OUT013,2675.839768
DRI25,OUT018,753.3298139
DRI25,OUT035,878.6815154
DRI37,OUT035,967.7935821
DRI37,OUT013,900.372144
DRI37,OUT045,829.1925665
DRI39,OUT049,701.1262109
DRI39,OUT013,838.4624009
DRI39,OUT045,815.2242125
DRI39,OUT046,849.4737556
DRI47,OUT019,347.1087765
DRI47,OUT017,2491.481715
DRI47,OUT027,3749.012477
DRI47,OUT045,2180.614479
DRI49,OUT049,1337.604746
DRI49,OUT027,2163.014375
DRI49,OUT017,1151.323864
DRI49,OUT013,1274.460226
DRI51,OUT013,2812.115548
DRI51,OUT049,2641.561378
DRI51,OUT046,2627.280579
DRI59,OUT049,3810.883726
DRI59,OUT018,3175.010179
DRI59,OUT045,3399.319905
DRI59,OUT035,3836.587083
DRI59,OUT013,3728.222794
DRI59,OUT046,3448.655958
DRJ01,OUT013,2682.135032
DRJ01,OUT017,2575.202698
DRJ01,OUT049,2717.871306
DRJ11,OUT046,2874.016031
DRJ11,OUT027,4917.936213
DRJ13,OUT046,2476.909604
DRJ13,OUT049,2701.269464
DRJ13,OUT027,4103.799009
DRJ23,OUT018,2652.263421
DRJ23,OUT046,2924.555234
DRJ23,OUT035,3233.328449
DRJ23,OUT049,3208.871878
DRJ24,OUT027,4769.029439
DRJ24,OUT046,2854.186286
DRJ25,OUT027,1348.14461
DRJ25,OUT013,753.7258709
DRJ25,OUT035,783.2591539
DRJ25,OUT046,766.4087468
DRJ25,OUT010,103.9543197
DRJ35,OUT035,1007.708977
DRJ35,OUT049,984.5311293
DRJ35,OUT018,787.2791087
DRJ35,OUT027,1677.00356
DRJ35,OUT045,908.5354326
DRJ37,OUT013,2495.906725
DRJ37,OUT035,2540.363552
DRJ37,OUT045,2331.436591
DRJ37,OUT049,2526.70088
DRJ37,OUT018,2157.780501
DRJ39,OUT017,3704.682214
DRJ39,OUT049,3498.844155
DRJ39,OUT010,544.9681158
DRJ47,OUT017,2893.927802
DRJ47,OUT045,2650.613637
DRJ47,OUT019,406.9789198
DRJ47,OUT035,2955.703271
DRJ47,OUT010,418.8438827
DRJ47,OUT049,2896.376338
DRJ49,OUT027,3389.108128
DRJ49,OUT046,2014.512652
DRJ49,OUT049,2141.01147
DRJ51,OUT019,541.5001355
DRJ51,OUT018,3288.223138
DRJ51,OUT027,5900.062125
DRJ51,OUT046,3527.650264
DRJ59,OUT018,460.8119262
DRJ59,OUT035,622.4995262
DRJ59,OUT017,690.2020277
DRK01,OUT046,1476.628509
DRK01,OUT027,2491.807647
DRK01,OUT019,226.0251067
DRK01,OUT013,1534.600238
DRK11,OUT027,3863.352509
DRK11,OUT017,2584.666598
DRK12,OUT046,503.3108449
DRK13,OUT019,468.0216222
DRK13,OUT010,488.6243522
DRK13,OUT045,3007.066607
DRK13,OUT035,3357.053317
DRK23,OUT045,3867.762527
DRK23,OUT019,596.8257999
DRK23,OUT035,4302.131175
DRK23,OUT046,3881.9944
DRK35,OUT018,456.9330908
DRK35,OUT013,558.9375188
DRK37,OUT013,3123.206242
DRK37,OUT018,2673.653928
DRK37,OUT017,3187.16639
DRK37,OUT035,3217.097509
DRK37,OUT049,3185.93734
DRK39,OUT045,1228.204344
DRK39,OUT018,1146.811247
DRK39,OUT010,187.4183268
DRK39,OUT035,1357.575912
DRK47,OUT017,3813.722453
DRK47,OUT010,562.9889135
DRK47,OUT027,5821.819633
DRK47,OUT035,3922.773341
DRK49,OUT018,520.6055302
DRK49,OUT010,82.1992812
DRK49,OUT045,588.293716
DRK59,OUT013,3916.715882
DRK59,OUT049,3976.812751
DRK59,OUT019,552.6287704
DRK59,OUT046,3579.641321
DRL01,OUT046,3578.633599
DRL01,OUT045,3716.756872
DRL01,OUT018,3304.698703
DRL11,OUT013,2581.82039
DRL11,OUT010,385.481505
DRL11,OUT017,2665.75756
DRL11,OUT046,2445.311882
DRL23,OUT027,2806.308414
DRL23,OUT018,1461.566039
DRL23,OUT046,1627.483436
DRL23,OUT017,1825.230542
DRL23,OUT019,254.9217719
DRL35,OUT018,552.1732376
DRL35,OUT046,670.0442701
DRL37,OUT010,88.61273967
DRL37,OUT046,671.5757611
DRL47,OUT017,2112.171725
DRL47,OUT018,1740.912231
DRL47,OUT013,2045.597413
DRL47,OUT019,298.4225075
DRL49,OUT013,2350.98141
DRL49,OUT019,339.3761996
DRL49,OUT027,3715.375329
DRL49,OUT018,2021.755671
DRL59,OUT013,777.1412255
DRL59,OUT046,814.8130513
DRL59,OUT017,894.2180417
DRL59,OUT018,682.8219852
DRL59,OUT049,876.957799
DRL59,OUT027,1440.613929
DRL59,OUT045,772.2140097
DRL60,OUT013,2478.108577
DRL60,OUT017,2587.029515
DRL60,OUT027,3932.28896
DRM11,OUT035,4432.85088
DRM11,OUT045,4017.560439
DRM11,OUT027,6714.997568
DRM11,OUT017,4365.01305
DRM11,OUT049,4436.916503
DRM11,OUT019,612.8958012
DRM11,OUT010,652.4482231
DRM23,OUT046,2652.792156
DRM23,OUT045,2596.667212
DRM35,OUT046,2755.282597
DRM35,OUT049,3015.439284
DRM35,OUT018,2518.696061
DRM35,OUT013,2933.580764
DRM37,OUT045,3029.922782
DRM37,OUT049,3315.26943
DRM37,OUT046,3017.81691
DRM47,OUT013,3189.146469
DRM47,OUT049,3239.768698
DRM47,OUT017,3232.459082
DRM48,OUT017,475.1987243
DRM48,OUT035,575.0402708
DRM48,OUT010,66.50151361
DRM48,OUT013,499.2925564
DRM48,OUT018,477.8624575
DRM49,OUT018,578.9018863
DRM49,OUT027,1260.727432
DRM49,OUT046,687.3746222
DRM59,OUT035,2592.440859
DRM59,OUT046,2368.816969
DRN11,OUT013,2346.906181
DRN11,OUT035,2447.272803
DRN11,OUT027,3757.388925
DRN35,OUT027,1034.507759
DRN35,OUT017,537.8853138
DRN35,OUT045,489.2886872
DRN36,OUT049,1613.458657
DRN36,OUT017,1589.360946
DRN36,OUT013,1552.35364
DRN36,OUT018,1296.39303
DRN37,OUT046,2569.687329
DRN37,OUT045,2524.655631
DRN37,OUT019,397.7131035
DRN37,OUT027,4294.719379
DRN47,OUT019,429.6270427
DRN59,OUT035,724.826379
DRN59,OUT013,671.7531995
DRN59,OUT046,701.1182225
DRN59,OUT018,625.5617364
DRO35,OUT018,1618.520237
DRO35,OUT035,1964.354551
DRO35,OUT013,1892.655875
DRO35,OUT010,273.4037665
DRO35,OUT027,3075.471276
DRO47,OUT013,1810.683204
DRO47,OUT027,2967.77986
DRO47,OUT045,1691.445023
DRO59,OUT035,1244.230367
DRO59,OUT027,2036.043993
DRO59,OUT046,1184.995867
DRO59,OUT013,1167.306498
DRO59,OUT018,1022.422922
DRP35,OUT017,2056.290847
DRP47,OUT019,595.0483934
DRP47,OUT035,4278.401547
DRP47,OUT010,629.3022827
DRP47,OUT018,3624.905463
DRP47,OUT045,3846.503359
DRP47,OUT027,6455.075069
DRQ35,OUT046,1886.994586
DRQ35,OUT019,301.213718
DRY23,OUT018,532.2420363
DRY23,OUT013,627.0977813
DRY23,OUT045,762.69125
DRZ11,OUT035,2064.943987
DRZ11,OUT046,1899.246514
DRZ24,OUT013,1920.101714
DRZ24,OUT018,1675.357287
DRZ24,OUT010,285.8880352
DRZ24,OUT019,287.9962011
DRZ24,OUT035,2019.861517
FDA01,OUT013,872.836816
FDA01,OUT049,963.9481466
FDA02,OUT035,2427.018007
FDA02,OUT017,2489.099713
FDA02,OUT010,350.0293896
FDA03,OUT018,2045.527765
FDA03,OUT017,2451.377889
FDA03,OUT045,2370.577373
FDA07,OUT046,1898.762562
FDA07,OUT017,2081.149585
FDA07,OUT019,295.8021211
FDA08,OUT049,2744.154403
FDA08,OUT018,2335.089099
FDA08,OUT035,2805.322967
FDA09,OUT013,2973.70662
FDA09,OUT010,437.2208679
FDA09,OUT046,2772.612949
FDA09,OUT027,4642.059056
FDA10,OUT046,1878.853179
FDA10,OUT013,1990.027679
FDA11,OUT019,225.5609107
FDA11,OUT049,1578.536001
FDA11,OUT013,1527.716406
FDA13,OUT010,66.41246673
FDA13,OUT046,865.0264515
FDA14,OUT013,2380.148206
FDA14,OUT045,2234.520433
FDA14,OUT027,3836.495333
FDA14,OUT017,2435.353463
FDA14,OUT018,2078.592721
FDA14,OUT035,2466.933402
FDA15,OUT046,3834.597816
FDA16,OUT049,3718.691766
FDA16,OUT045,3396.779638
FDA16,OUT013,3673.785451
FDA16,OUT017,3732.276585
FDA19,OUT018,1820.637036
FDA19,OUT017,2171.336647
FDA19,OUT035,2165.029574
FDA19,OUT027,3730.259224
FDA20,OUT045,2859.438507
FDA20,OUT046,2865.390674
FDA21,OUT027,4811.972629
FDA21,OUT017,3224.146156
FDA22,OUT017,2735.588199
FDA22,OUT010,411.5738036
FDA22,OUT045,2568.238639
FDA22,OUT018,2353.523052
FDA22,OUT013,2771.490613
FDA22,OUT049,2796.809984
FDA23,OUT018,1398.929707
FDA23,OUT045,1508.016595
FDA23,OUT010,233.4430669
FDA25,OUT027,2740.761949
FDA25,OUT013,1642.253044
FDA25,OUT019,340.961877
FDA25,OUT049,1708.411287
FDA26,OUT017,3685.224468
FDA26,OUT010,541.3229218
FDA26,OUT045,3462.300592
FDA26,OUT049,3490.24929
FDA27,OUT013,4257.56194
FDA27,OUT035,4362.301366
FDA27,OUT027,6556.850429
FDA27,OUT019,600.4539559
FDA28,OUT019,298.8867035
FDA28,OUT045,2045.666048
FDA28,OUT013,2052.481245
FDA28,OUT049,2106.133508
FDA31,OUT013,2893.544397
FDA31,OUT010,422.7494477
FDA31,OUT049,2882.624554
FDA31,OUT027,4811.634426
FDA31,OUT046,2666.051805
FDA32,OUT013,3623.423336
FDA32,OUT027,5941.070635
FDA32,OUT035,3690.82483
FDA33,OUT013,2427.157895
FDA33,OUT018,2068.838719
FDA33,OUT027,3852.449991
FDA34,OUT045,2653.726709
FDA34,OUT046,2672.177769
FDA34,OUT035,3462.829531
FDA35,OUT018,1718.599442
FDA35,OUT045,1956.492101
FDA35,OUT013,1964.213309
FDA35,OUT035,2083.50654
FDA36,OUT017,3218.708195
FDA36,OUT018,2645.042775
FDA36,OUT046,3198.717401
FDA36,OUT049,3105.822884
FDA36,OUT035,3115.274506
FDA37,OUT045,1996.921567
FDA37,OUT019,396.4462965
FDA37,OUT027,3271.378109
FDA37,OUT049,2083.243664
FDA37,OUT017,2357.347446
FDA37,OUT013,2036.4488
FDA38,OUT045,3703.544866
FDA38,OUT010,601.7435746
FDA38,OUT046,3660.690887
FDA38,OUT035,4137.941888
FDA38,OUT017,4107.757783
FDA38,OUT027,6149.814666
FDA39,OUT045,545.7753786
FDA39,OUT019,101.0138746
FDA40,OUT045,1456.507833
FDA40,OUT027,2270.574436
FDA40,OUT010,200.8550326
FDA40,OUT018,1214.823662
FDA43,OUT035,3299.214738
FDA43,OUT046,3002.541819
FDA43,OUT045,3005.058676
FDA43,OUT049,3323.908989
FDA43,OUT019,460.7592758
FDA44,OUT046,884.6980486
FDA45,OUT049,3003.451166
FDA45,OUT017,3016.519039
FDA45,OUT046,2694.062776
FDA46,OUT010,477.1815675
FDA46,OUT046,2955.589368
FDA46,OUT018,2786.90483
FDA47,OUT035,2749.176631
FDA47,OUT049,2752.206072
FDA47,OUT019,385.6560766
FDA48,OUT018,3134.187553
FDA48,OUT049,3766.235121
FDA48,OUT027,5696.577082
FDA48,OUT035,3765.398199
FDA48,OUT013,3719.662749
FDA48,OUT017,3627.435033
FDA49,OUT018,1180.299401
FDA49,OUT045,1291.94138
FDA49,OUT013,1372.420598
FDA49,OUT017,1664.339777
FDA50,OUT045,1415.23771
FDA50,OUT018,1309.027702
FDA51,OUT045,1843.559188
FDA51,OUT017,1729.459019
FDA51,OUT049,1685.389523
FDA51,OUT018,1587.912753
FDA51,OUT035,1914.01466
FDA52,OUT046,2721.629614
FDA52,OUT010,437.4057313
FDA52,OUT018,2483.710659
FDA52,OUT017,2846.594975
FDA52,OUT019,418.6511283
FDA55,OUT035,3826.162587
FDA55,OUT017,3786.164806
FDA55,OUT046,3457.844904
FDA55,OUT045,3553.522941
FDA55,OUT049,3804.007834
FDA56,OUT018,1716.179913
FDA56,OUT017,2118.099617
FDA56,OUT010,285.8812656
FDA56,OUT035,2016.341512
FDA57,OUT018,509.4301649
FDA57,OUT049,633.176486
FDA57,OUT046,642.0332997
FDA57,OUT035,650.8472057
FDA57,OUT017,652.2337799
FDA58,OUT017,3919.509517
FDA58,OUT045,3618.548662
FDA58,OUT018,3389.300509
FDA58,OUT049,3967.042109
FDA58,OUT027,6097.762467
FDB02,OUT017,3266.343403
FDB02,OUT049,2965.63376
FDB02,OUT046,2955.303384
FDB03,OUT010,603.5661716
FDB03,OUT019,571.4106047
FDB03,OUT027,6170.023226
FDB03,OUT045,3809.495286
FDB03,OUT017,3893.969504
FDB04,OUT010,198.5116936
FDB04,OUT018,1175.4224
FDB04,OUT049,1190.906312
FDB05,OUT017,4166.579933
FDB05,OUT035,4251.287433
FDB05,OUT018,3552.51513
FDB05,OUT045,3787.968266
FDB05,OUT013,4152.762481
FDB08,OUT019,377.8501566
FDB08,OUT013,2637.978692
FDB08,OUT045,2436.586824
FDB09,OUT027,3604.087079
FDB09,OUT013,2002.02964
FDB09,OUT045,1897.197291
FDB09,OUT010,298.2832571
FDB10,OUT010,591.3422739
FDB10,OUT046,3614.825795
FDB10,OUT035,4042.474353
FDB10,OUT027,6051.429291
FDB10,OUT017,4058.839483
FDB10,OUT013,3964.857961
FDB11,OUT027,5808.456722
FDB11,OUT046,3464.454819
FDB11,OUT010,560.5700669
FDB11,OUT018,3181.308544
FDB12,OUT045,1708.342905
FDB12,OUT027,2674.220213
FDB12,OUT017,1667.016779
FDB14,OUT017,1716.164576
FDB14,OUT049,1545.332319
FDB14,OUT013,1451.450431
FDB15,OUT027,6751.095108
FDB15,OUT045,4069.377522
FDB16,OUT018,1190.514543
FDB16,OUT027,2279.016562
FDB16,OUT017,1465.097251
FDB17,OUT018,2545.885851
FDB17,OUT035,3040.655964
FDB20,OUT019,188.0886886
FDB20,OUT018,1070.542078
FDB20,OUT027,2421.734755
FDB20,OUT010,170.4254738
FDB20,OUT046,1174.235611
FDB21,OUT049,4097.549977
FDB21,OUT013,4054.80211
FDB21,OUT046,3682.615712
FDB21,OUT019,570.7876537
FDB22,OUT018,2135.852969
FDB22,OUT013,2561.258384
FDB22,OUT017,2508.668104
FDB22,OUT046,2364.222496
FDB23,OUT046,3460.868067
FDB23,OUT035,4392.315818
FDB23,OUT010,561.262133
FDB23,OUT049,3803.96314
FDB26,OUT018,678.9431498
FDB26,OUT013,808.7070371
FDB26,OUT049,843.1662277
FDB27,OUT018,2787.827111
FDB27,OUT017,3285.933465
FDB27,OUT013,3244.08289
FDB28,OUT046,3037.202523
FDB28,OUT018,2828.188596
FDB28,OUT035,3375.021673
FDB28,OUT027,5093.634486
FDB28,OUT049,3098.227184
FDB29,OUT027,2991.312728
FDB29,OUT046,1771.808084
FDB32,OUT045,1431.375875
FDB32,OUT046,1441.927986
FDB32,OUT049,1551.620322
FDB32,OUT013,1509.374435
FDB33,OUT010,386.8656372
FDB33,OUT027,4428.13153
FDB33,OUT046,2419.760486
FDB33,OUT018,2257.360624
FDB34,OUT013,1360.373892
FDB34,OUT046,1329.240878
FDB35,OUT027,2384.11623
FDB35,OUT010,210.4752203
FDB35,OUT049,1549.946042
FDB35,OUT035,2077.629453
FDB36,OUT049,2161.594453
FDB37,OUT018,3429.586111
FDB37,OUT045,3834.399862
FDB37,OUT017,4075.855092
FDB38,OUT010,393.0254943
FDB38,OUT049,2713.890164
FDB38,OUT013,2645.451091
FDB38,OUT045,2599.104875
FDB38,OUT017,2950.707149
FDB39,OUT018,725.1039172
FDB39,OUT046,854.5919986
FDB39,OUT027,1473.387161
FDB39,OUT013,835.6090526
FDB40,OUT046,2238.799509
FDB40,OUT017,2508.928861
FDB41,OUT013,705.5837918
FDB41,OUT017,670.1377867
FDB41,OUT027,1267.376048
FDB41,OUT049,760.7896036
FDB44,OUT018,3000.620193
FDB44,OUT049,3567.645608
FDB44,OUT035,3583.78958
FDB44,OUT010,521.3014334
FDB45,OUT035,1745.116975
FDB45,OUT017,1772.033077
FDB45,OUT027,3079.321297
FDB46,OUT017,3539.367909
FDB46,OUT027,5472.085241
FDB46,OUT046,3274.304897
FDB46,OUT013,3537.464926
FDB47,OUT018,2994.820911
FDB47,OUT046,3184.510517
FDB47,OUT045,3180.663954
FDB47,OUT027,5341.659195
FDB47,OUT017,3511.695958
FDB47,OUT010,521.0478321
FDB47,OUT035,3585.572169
FDB49,OUT035,1674.018438
FDB49,OUT013,1580.976614
FDB49,OUT027,2623.031931
FDB50,OUT019,286.6500166
FDB50,OUT035,1291.095426
FDB50,OUT027,2091.551855
FDB50,OUT013,1244.704863
FDB51,OUT049,757.71824
FDB51,OUT027,1669.359672
FDB52,OUT019,606.9526999
FDB52,OUT035,4397.049686
FDB52,OUT017,4371.831879
FDB52,OUT046,3927.375541
FDB53,OUT046,2283.656881
FDB53,OUT013,2438.027466
FDB53,OUT018,2086.811532
FDB53,OUT019,352.9725004
FDB56,OUT017,3134.236362
FDB57,OUT049,3762.209286
FDB57,OUT019,528.0625897
FDB57,OUT018,3161.415284
FDB57,OUT045,3531.239572
FDB58,OUT049,2406.596237
FDB58,OUT045,2277.266153
FDB58,OUT046,2171.493543
FDB59,OUT017,3381.6042
FDB59,OUT035,3391.801637
FDB59,OUT010,489.4054652
FDB59,OUT013,3304.860243
FDB60,OUT045,2993.138723
FDB60,OUT019,463.1596333
FDB60,OUT046,3361.380123
FDB60,OUT027,4984.280916
FDC02,OUT045,4008.221223
FDC02,OUT017,4608.280315
FDC02,OUT049,4402.537043
FDC03,OUT027,5046.56875
FDC03,OUT046,3011.730765
FDC03,OUT045,3132.8006
FDC03,OUT018,2774.731299
FDC03,OUT010,483.8621666
FDC04,OUT013,4018.661992
FDC04,OUT035,4150.652823
FDC04,OUT046,3720.902987
FDC04,OUT017,4094.899363
FDC05,OUT045,3167.003922
FDC05,OUT019,470.2692593
FDC05,OUT027,5089.446262
FDC05,OUT046,3007.096473
FDC05,OUT013,3242.361932
FDC08,OUT035,3841.159962
FDC08,OUT018,3244.519842
FDC08,OUT045,3604.315824
FDC09,OUT035,1712.151244
FDC09,OUT046,1580.610622
FDC09,OUT027,3071.808765
FDC10,OUT045,1933.184531
